#,Item No.,Item Description,In Stock,Committed,Ordered,Available,Inventory UoM
138,AMS3351101020,3351.101.020 AFWALL MILLENIUM TOP SPUD FLUSH VALVE TOILET 1.1-1.6 GPF-AMERICAN STANDARD,,,,,PCS
139,AMSKF4705H000H0,KF-4705.H00.0H0 SILVER BASIN MIXER - AMERICAN STANDARD,,,,,PCS
140,AQAECO702BWH,AQA-ECO-702-B-WH WALL MOUNTED SOAP DISPENSER 1 LTR - AQUAECO,,,,,PCS
141,AQAECO703PS,AQA-ECO-703-PS TOUCHLESS SOAP/SANITIZER DISPENSER 700ML PS - AQUAECO,,,,,PCS
142,AQAECO757SPWH,AQA-ECO-757SP-WH WALL MOUNTED TOUCHLESS SOAP DISPENSER 1100ML WHITE - AQUAECO,,,,,PCS
143,AQAECO857SZWH,AQA-ECO-857SZ-WH WALL MOUNTED TOUCHLESS SANITIZER DISPENSER 1100ML WHITE - AQUAECO,,,,,PCS
144,AQDABRON10005BB00,ABRON10005BB00 ROND'EAU ORIGINAL BATH ACRYLIC INT. WHITE GLOSSY 180X180 - AQUADESIGN BELGIUM,,,,,PCS
145,AQDAWAQS10001812240,AWAQS10001812240 AQUASPA ORIGINAL WHIRLPOOL SYSTEM - AQUADESIGN STUDIO,,,,,PCS
146,AQDAWASO300020000,AWASO300020000 AQUASOUND STEREO+SUB WHIRLPOOL OPTION - AQUADESIGN BELGIUM,,,,,PCS
147,AQDAWCHR400020000,AWCHR400020000 CHROMOLIGHT 4 SPOTS WHIRLPOOL OPTION - AQUADESIGN BELGIUM,,,,,PCS
148,AQDAWHEA300020000,AWHEA300020000 HEATER 1.5KW WHIRLPOOL OPTION - AQUADESIGN BELGIUM,,,,,PCS
149,AQDAWTET10099NNNN,AWTET10099NNNN HEADREST ORIGINAL WHIRLPOOL INT. BLACK EXT. BLACK 30X15 - AQUADESIGN BELGIUM,,,,,PCS
150,AQDAWVID000020000,AWVID000020000 OVERFLOW WHIRLPOOL OPTION - AQUADESIGN STUDIO,,,,,PCS
151,AQDBTA33,BATHTUB ACCESS 33 GLOSSY BLACK O/S & GLOSSY WHITE I/S 170X80 CM - AQUADESIGN BELGIUM,,,,,PCS
152,AQDBTA3315075,BATHTUB ACCESS 33 GLOSSY BLACK O/S & GLOSSY WHITE I/S 150X75 CM - AQUADESIGN BELGIUM,,,,,PCS
153,AQDBTABDIA00002BBOR,ABDIA00002BBOR DIAMOND BATHTUB COMPOLIGHT-INT. WHITE GLOSSY-EXT. GOLD LEAF 215X102 CM - AQUADESIGN,,,,,PCS
154,AQDFIX,FIXATION BRACKETS - AQUADESIGN BELGIUM,,,,,PCS
155,AQDO25130,OZONATOR 25-130 - AQUADESIGN BELGIUM,,,,,PCS
156,AQDSCB300700BS,AQD-SCB-300700-BS CONTRACT SHOWER CHANNEL BASE 300X70X75 BS - AQUADRAIN,47,,,47,PCS
157,AQDSCB500700BS,AQD-SCB-500700-BS CONTRACT SHOWER CHANNEL BASE 500X70X75MM BRUSHED STAINLESS STEEL - AQUADRAIN,16,7,,9,PCS
158,AQDSCB700700BS,AQD-SCB-700700-BS CONTRACT SHOWER CHANNEL BASE 700X70X75MM BRUSHED STAINLESS STEEL - AQUADRAIN,390,39,15,366,PCS
159,AQDSCB800700BS,AQD-SCB-800700-BS CONTRACT SHOWER CHANNEL BASE 800X70X75MM BRUSHED STAINLESS STEEL - AQUADRAIN,68,16,53,105,PCS
160,AQDSCC300701BS,AQD-SCC-300701-BS CONTRACT SHOWER CHANNEL GRATE 300X70 BS - AQUADRAIN,6,,,6,PCS
161,AQDSCC300702BS,AQD-SCC-300702-BS CONTRACT REVERSIBLE SHW CHANNEL COVER W/TILE INSERT 300X70 BS - AQUADRAIN,38,,,38,PCS
162,AQDSCC500701BS,AQD-SCC-500701-BS CONTRACT SHOWER CHANNEL GRATE 500X70 BS - AQUADRAIN,10,5,,5,PCS
163,AQDSCC500702BS,AQD-SCC-500702-BS CONTRACT REVERSIBLE SHW CHANNEL COVER W/TILE INSERT 500X70 BRUSHED SS - AQUADRAIN,3,2,,1,PCS
164,AQDSCC700701BS,AQD-SCC-700701-BS CONTRACT SHOWER CHANNEL GRATE 700X70 BS - AQUADRAIN,135,1,,134,PCS
165,AQDSCC700702BS,AQD-SCC-700702-BS CONTRACT REVERSIBLE SHW CHANNEL COVER W/TILE INSERT 700X70 BRUSHED SS - AQUADRAIN,254,43,20,231,PCS
166,AQDSCC800701BS,AQD-SCC-800701-BS CONTRACT SHOWER CHANNEL GRATE 800X70MM BRUSHED STAINLESS STEEL - AQUADRAIN,46,6,6,46,PCS
167,AQDSCC800702BS,AQD-SCC-800702-BS CONTRACT REVERSIBLE SHW CHANNEL COVER W/TILE INSERT 800X70 BRUSHED SS - AQUADRAIN,68,10,,58,PCS
168,AQDTDV090920BS,AQD-TDV-090920-BS CONTRACT REVERSIBLE FLOOR DRAIN WITH TILE INSERT 96X96X75MM Ø50 BS - AQUADRAIN,,,,,PCS
169,AQEAQPBTR153WH,"AQP-BTR-153-WH AQUAECO PP BOTTLE TRAP 1 1/4"" - AQUAECO",,,,,PCS
170,AQEAQPBTR154WH,"AQP-BTR-154-WH AQUAECO PP BOTTLE TRAP 1 1/2"" - AQUAECO",,,,,PCS
171,AQEAQPBTR170AWH,"AQP-BTR-170-A-WH AQUAECO PP DOUBLE BOTTLE TRAP 1 1/2"" - AQUAECO",,,,,PCS
172,AQEECO361ACP,AQE-ECO-361-A-CP WALL MOUNTED KITCHEN SINK MIXER CP - AQUAECO,,,,,PCS
173,AQEECO8042USS,AQE-ECO-8042-U-SS AQUAECO UNDERMOUNT DOUBLE BOWL SINK - AQUAECO,,,,,PCS
174,AQEEX3501BS,AQE-EX3-501-BS EX316 OUTDOOR SHOWER COLUMN BS - AQUAECO,,,,,PCS
175,AQEIX34040UASS,AQE-IX3-4040-U-A-SS IX304 UNDERMOUNT SINGLE BOWL SINK 400X400 MM - AQUAECO,,,,,PCS
176,AQEPROADAPTOR,AQE-PRO-ADAPTOR - AQUAECO,,,,,PCS
177,AQEPROCOUPLING,AQE-PRO-COUPLING - AQUAECO,,,,,PCS
178,AQMBAM,BATHTUB AQUAMAR MID GOLD 180X90 CM - AQUAMASS BELGIUM,1,,,1,PCS
